ROG3,Ctry,PeopleID3,PeopNameInCountry,PeopleID1,AffinityBloc,PeopleID2,PeopleCluster,PrimaryReligionPC,ROL3,PrimaryLanguageName,Population,10_40Window,LocationInCountry,PrimaryReligion,PercentEvangelical,PercentAdherents,LeastReached,JPScale,BibleStatus,JF,AudioRecordings,NTOnline,IndigenousCode,Latitude,Longitude,PhotoAddress,MapAddress
AF,Afeganistão,15735,"Nuristani urmuri",21,"Povos do Sul Asiático",463,"South Asia Muslim - Pashtun",Islã,pbt,"Pashto, Southern",3200,Y,"Kandahar area; Badghis, Farah, Helmand, Herat, Kandahar, Nimroz, Uruzgan, and Zabul provinces.",Islã,0.000,0.000,Y,1,3,Y,Y,,Y,32.774820000043,68.9185100001364,p15735.jpg,m15735_af.png
AF,Afeganistão,15822,"Nuristani waigeli",14,Iranianos-Medos,251,Nuristan,Islã,wbk,Waigali,32000,Y,"Konar province: north of Pech; Nurestan province: southeast; north Waigal valley (Varjan): Ameshdesh, Jamach, Waigal, Zonchigal villages, and east in Veligal valley villages; lower valley villages (Chima-Nishey).",Islã,0.000,0.000,Y,1,0,N,Y,,Y,35.17784,71.05953,p15822.jpg,m15822_af.png
AF,Afeganistão,14255,Pahlavani,14,Iranianos-Medos,268,Persian,Islã,prs,Dari,3700,Y,"Chakhansoor Province, Karim Kushta, Haji Hamza Khan village",Islã,0.000,0.000,Y,1,5,Y,Y,PRSGNNN2DA,Y,31.33334,62.19879,,
AF,Afeganistão,14311,Parachi,14,Iranianos-Medos,268,Persian,Islã,prc,Parachi,8100,Y,"Kapisa province: Kabul area, Nijrau and Tagau villages; Hindu Kush valley (Pachaghan, Shutul, and Ghujulan).",Islã,0.000,0.000,Y,1,0,N,Y,,Y,35.07936,69.64313,p14311.jpg,
AF,Afeganistão,14322,Parsee,21,"Povos do Sul Asiático",468,"South Asia - other",Hinduísmo,prs,Dari,2300,Y,,"Outra / Pequena",0.000,0.000,Y,1,5,Y,Y,PRSGNNN2DA,Y,34.245037,61.583604,p14322.jpg,m14322.png
AF,Afeganistão,14324,"Parya, Laghmani",14,Iranianos-Medos,299,Tajik,Islã,paq,Parya,400,Y,"Laghman province; Kabul and Nangarhar provinces small border areas.",Islã,0.000,0.000,Y,1,0,N,N,,Y,34.47933,69.89671,p14324.jpg,
AF,Afeganistão,18369,Pashayi,21,"Povos do Sul Asiático",462,"South Asia Muslim - other",Islã,mvy,"Kohistani, Indus",47000,Y,,Islã,0.000,0.000,Y,1,0,N,N,,Y,34.204284,69.45316,p18369.jpg,m00016.png
AF,Afeganistão,13996,"Pashayi do nordeste",21,"Povos do Sul Asiático",462,"South Asia Muslim - other",Islã,aee,"Pashai, Northeast",92000,Y,"Konar province: west of Asadabad, Konar and Pech rivers’ valleys; Nangarhar province: Dara-I-Nur and Kuz Konar districts.",Islã,0.000,0.000,Y,1,1,N,Y,,Y,34.66002,70.43166,p13996.jpg,
AF,Afeganistão,14042,"Pashayi do noroeste",21,"Povos do Sul Asiático",462,"South Asia Muslim - other",Islã,glh,"Pashai, Northwest",96000,Y,"Kabul province: northwest of Kabul; Kapisa, Konar, Laghman, and Nurestan provinces; some in Nangarhar and Parvan provinces; Alisheng valley and others north of Sarobi.",Islã,0.000,0.000,Y,1,0,N,Y,,Y,34.96106,70.04196,,m14042_af.png
AF,Afeganistão,15025,"Pashayi do sudeste",21,"Povos do Sul Asiático",462,"South Asia Muslim - other",Islã,psi,"Pashai, Southeast",547000,Y,"Nangarhar province: north of Shewa; Laghman province; Alingar valley area; Upper and Lower Darrai Nur valley, Damench, Shale (Shari).",Islã,0.000,0.000,Y,1,0,N,Y,,Y,34.43099,70.30351,p15025.jpg,m15025_af.png
AF,Afeganistão,15072,"Pashayi do sudoeste",21,"Povos do Sul Asiático",462,"South Asia Muslim - other",Islã,psh,"Pashai, Southwest",121000,Y,"Northeast of Kabul, and in Kapisa province; north of Sarobi, Tagau (Tagab) valley.",Islã,0.000,0.009,Y,1,1,N,Y,,Y,34.88104,69.77576,p15072.jpg,m00076.png
AF,Afeganistão,14256,"Pashtun do norte",21,"Povos do Sul Asiático",463,"South Asia Muslim - Pashtun",Islã,pbu,"Pashto, Northern",2749000,Y,"Nangarhar province and surrounding regions; scattered.",Islã,0.010,0.010,Y,1,5,Y,Y,,Y,33.562,68.363,p14256_af.jpg,m14256_af.png
AF,Afeganistão,14327,"Pashtun do sul",21,"Povos do Sul Asiático",463,"South Asia Muslim - Pashtun",Islã,pbt,"Pashto, Southern",9656000,Y,"Kandahar area; Badghis, Farah, Helmand, Herat, Kandahar, Nimroz, Uruzgan, and Zabul provinces.",Islã,0.019,0.019,Y,1,3,Y,Y,,Y,33.5619999999001,68.3629999998501,p14327.jpg,m14327_af.png
AF,Afeganistão,14371,Persa,14,Iranianos-Medos,268,Persian,Islã,pes,"Persian, Iranian",663000,Y,,Islã,0.100,0.119,Y,1,5,Y,Y,PESTPVN2DA,Y,34.2582109352864,62.4460833448704,p14371.jpg,
AF,Afeganistão,14483,Punjabi,21,"Povos do Sul Asiático",462,"South Asia Muslim - other",Islã,pan,"Punjabi, Eastern",6000,Y,,Islã,0.300,1.000,Y,1,5,Y,Y,PANWTCN2DA,Y,34.1478387962234,71.0732133629064,p14483.jpg,m14483_af.png
AF,Afeganistão,15382,"Punjabi, Western",21,"Povos do Sul Asiático",462,"South Asia Muslim - other",Islã,pnb,"Punjabi, Western",37000,Y,,Islã,0.100,0.200,Y,1,4,Y,Y,,Y,34.757485,70.301167,p15382.jpg,m15382_af.png
AF,Afeganistão,14498,Qasilbash,24,"Povos Túrquicos",309,Turkish,Islã,prs,Dari,299000,Y,"Provinces of Herat, Hazarajat, Balkh, Ghor, Ghazni, Budaksham, Panjsher; Galcha-Pamir Mountains; Kabul regions. Dari in Khorasan Province (Iran)",Islã,0.000,0.000,Y,1,5,Y,Y,PRSGNNN2DA,Y,32.3647769999586,62.0940299999845,p14498.jpg,m14498_af.png
AF,Afeganistão,12933,Quirguiz,24,"Povos Túrquicos",204,Kyrgyz,Islã,kir,Kyrgyz,1300,Y,"Badakhshan province: Wakhan district, Great Pamir and Little Pamir valleys.",Islã,0.000,0.000,Y,1,5,Y,Y,KIRBSKN2DA,N,37.0646400004356,74.2469200001578,p12933.jpg,m00206.png
AF,Afeganistão,14727,Sanglechi,14,Iranianos-Medos,299,Tajik,Islã,sgy,Sanglechi,2800,Y,"Badakhshan province: Zebok district, Dashte Rubat, Esketul, Faruq, Flaxmadek, Sar-Sanglech, and Takya villages in Sanglech valley.",Islã,0.000,0.000,Y,1,1,N,Y,,Y,36.67411,71.57368,,m14727_af.png
AF,Afeganistão,14782,Sau,21,"Povos do Sul Asiático",462,"South Asia Muslim - other",Islã,sdg,Savi,4800,Y,"Konar province: Sau village on Konar river.",Islã,0.000,0.000,Y,1,0,N,Y,,Y,35.16964,71.4591,,m14782_af.png
AF,Afeganistão,14921,"Shughni, shugnan-rushan",14,Iranianos-Medos,299,Tajik,Islã,sgh,Shughni,45000,Y,"Badakhshan province: both sides of Afghanistan-Tajikistan border, 50 km north of Ishkashim, Pamir mountains.",Islã,0.000,0.000,Y,1,3,Y,Y,,Y,37.59163,71.37385,p14921.jpg,m14921.png
AF,Afeganistão,14924,Shumashti,21,"Povos do Sul Asiático",462,"South Asia Muslim - other",Islã,sts,Shumashti,1600,Y,"Konar province: Konar valley west side between Pech valley and Jalalabad city.",Islã,0.000,0.000,Y,1,1,N,Y,,Y,34.74897,70.75085,,m00012.png
AF,Afeganistão,14192,Sindhi,21,"Povos do Sul Asiático",468,"South Asia - other",Hinduísmo,snd,Sindhi,24000,Y,,Islã,0.079,0.079,Y,1,5,Y,Y,SNDPAKN2DA,N,34.5173684362043,69.1088863815013,p14192.jpg,m14192_af.png
AF,Afeganistão,15253,Tangshuri,14,Iranianos-Medos,299,Tajik,Islã,prs,Dari,16000,Y,"Northeast Badakhshan, east of Darwazi on the Amu Darya. Possibly in Turkmenistan",Islã,0.000,0.000,Y,1,5,Y,Y,PRSGNNN2DA,Y,38.11159,71.21229,,
AF,Afeganistão,15500,Tirahi,21,"Povos do Sul Asiático",462,"South Asia Muslim - other",Islã,pbt,"Pashto, Southern",5700,Y,"Kandahar area; Badghis, Farah, Helmand, Herat, Kandahar, Nimroz, Uruzgan, and Zabul provinces.",Islã,0.000,0.000,Y,1,3,Y,Y,,Y,31.81734,66.46972,,
AF,Afeganistão,18274,Turco,24,"Povos Túrquicos",309,Turkish,Islã,tur,Turkish,11000,Y,,Islã,0.000,0.000,Y,1,5,Y,Y,TRKWTC,N,34.558664,68.887656,p18274.jpg,
AF,Afeganistão,15654,Turcomeno,24,"Povos Túrquicos",310,Turkmen,Islã,tuk,Turkmen,2171000,Y,"Badghis, Balkh, Faryab, Herat, Jowzjan, and Kondoz provinces; most live outside cities, including Kabul; northern border of Uzbekistan, Tajikistan.",Islã,0.000,0.000,Y,1,5,Y,Y,TUKIBT,Y,36.59488,64.75669,p15654_af.jpg,m15654_af.png
AF,Afeganistão,15755,Uyghur,24,"Povos Túrquicos",313,Uyghur,Islã,uig,Uyghur,4800,Y,"Badakshan and Abi-i-Barik, a few villages",Islã,0.050,0.050,Y,1,5,Y,Y,UIGUMKN1DA,N,34.89379,62.7225,p15755.jpg,
AF,Afeganistão,15756,"Uzbeque do sul",24,"Povos Túrquicos",314,Uzbek,Islã,uzs,"Uzbek, Southern",4358000,Y,"Badghis, Baghlan, Balkh, Faryab, Ghowr, Jowzjan, Kondoz, Samangan, and Takhar provinces; Aqcha, Maimana, Saripul, and Sheberghan towns.",Islã,0.009,0.009,Y,1,4,Y,Y,,Y,36.33165,66.70937,p15756.jpg,m15756_af.png
AF,Afeganistão,15866,Warduji,14,Iranianos-Medos,268,Persian,Islã,wrd,Warduji,8100,Y,"Badakhshan province: Werdoge river area west of Ishkashim.",Islã,0.000,0.000,Y,1,1,N,Y,,Y,36.98774,70.86259,,
AF,Afeganistão,15418,Wotapuri-Katarqalai,21,"Povos do Sul Asiático",462,"South Asia Muslim - other",Islã,pbu,"Pashto, Northern",3500,Y,"Nangarhar province and surrounding regions; scattered.",Islã,0.000,0.000,Y,1,5,Y,Y,,Y,35.121354,70.981163,,
SF,"África do Sul",10823,"Bhojpuri Bihari",21,"Povos do Sul Asiático",442,"South Asia Hindu - other",Hinduísmo,bho,Bhojpuri,57000,N,,Hinduísmo,0.500,5.000,Y,1,4,Y,Y,BHJROVN2DA,N,-25.750524,28.206276,p10823.jpg,
SF,"África do Sul",11982,Gujarati,21,"Povos do Sul Asiático",442,"South Asia Hindu - other",Hinduísmo,guj,Gujarati,32000,N,,Hinduísmo,0.400,3.000,Y,1,5,Y,Y,GUJWTCN2DA,N,-27.51183,25.6441,p11982.jpg,m00040.png
SF,"África do Sul",12106,Hindi,21,"Povos do Sul Asiático",468,"South Asia - other",Hinduísmo,hin,Hindi,463000,N,"Mainly Natal",Hinduísmo,0.600,4.000,Y,1,5,Y,Y,HNDWTCN2DA,N,-27.80271,29.69512,p12106.jpg,
SF,"África do Sul",12347,"Jew, English-speaking",15,Judeus,197,Jews,"Religiões Étnicas",eng,English,70000,N,,"Religiões Étnicas",0.100,0.500,Y,1,5,Y,Y,ENGESV,Y,-26.1921311593255,28.2578598933194,p12347.jpg,
SF,"África do Sul",18995,"Malaio cape",17,"Povos Malaios",215,Malay,Islã,afr,Afrikaans,321000,N,"Principally Pretoria and Bloemfontein. Cape Malays mainly in Cape Town; some in Johannesburg, Pretoria, Durban, and Port Elizabeth",Islã,0.200,0.500,Y,1,5,Y,Y,,Y,-30.62109,21.61887,p18995.jpg,m18995_sf.png
SF,"África do Sul",14983,Somaliano,13,"Povos do Chifre da África-Cuchíticos",287,Somali,Islã,som,Somali,24000,N,,Islã,0.400,0.500,Y,1,5,Y,Y,SOMTVI,N,-25.754106,28.202922,p14983.jpg,
SF,"África do Sul",15145,Swahili,22,"Africanos Subsaarianos",351,"Bantu, Swahili",Islã,swh,Swahili,2500,N,"KwaZulu-Natal province: Chatsworth 1, on coast, southwest of Durban proper.",Islã,0.000,0.000,Y,1,5,Y,Y,SWAHNVN2DA,N,-30.42065,30.60355,p15145.jpg,
SF,"África do Sul",15727,Urdu,21,"Povos do Sul Asiático",468,"South Asia - other",Hinduísmo,urd,Urdu,15000,N,"KwaZulu-Natal province: Durban coastal and urban areas; Gauteng province: Johannesburg area, and scattered smaller towns.",Islã,0.000,0.000,Y,1,5,Y,Y,URDPAKN2DA,N,-29.93794,30.70614,p15727.jpg,
AL,Albânia,20676,"Egyptian, Balkan",12,"Povos da Eurásia",106,Albanian,Islã,als,"Albanian, Tosk",2900,Y,,Islã,0.000,4.000,Y,1,4,Y,Y,ALSBSAN2DA,N,41.345601,19.818675,,
AL,Albânia,18765,Gorani,12,"Povos da Eurásia",284,"Slav, Southern",Cristianismo,srp,Serbian,35000,Y,"Gora region - the triangle between Albania, Kosovo, and Republic of Macedonia.",Islã,0.000,5.000,Y,1,5,Y,Y,ORYWTCN2DA,Y,40.660934,19.698161,p18765.jpg,m18765_al.png
AL,Albânia,18274,Turco,24,"Povos Túrquicos",309,Turkish,Islã,tur,Turkish,1700,Y,,Islã,0.003,0.010,Y,1,5,Y,Y,TRKWTC,Y,41.338572,19.796522,p18274.jpg,
GM,Alemanha,10161,Adyghe,12,"Povos da Eurásia",157,Caucasus,Islã,ady,Adyghe,2100,N,,Islã,0.050,0.070,Y,1,4,Y,Y,,N,52.497842,13.428073,p10161.jpg,
GM,Alemanha,12247,"Árabe iraquiano",10,"Mundo Árabe",113,"Arab, Levant",Islã,acm,"Arabic, Mesopotamian Spoken",5100,N,,Islã,0.300,1.000,Y,1,4,Y,Y,ACMAS3,N,52.539593,13.368876,p12247.jpg,m00007.png
GM,Alemanha,13819,"Árabe marroquino",10,"Mundo Árabe",115,"Arab, Maghreb",Islã,ary,"Arabic, Moroccan Spoken",47000,N,,Islã,0.050,0.500,Y,1,4,Y,Y,ARYMBS,N,52.4631737033037,13.4290280223254,p13819.jpg,
GM,Alemanha,15641,"Árabe tunisiano",10,"Mundo Árabe",115,"Arab, Maghreb",Islã,aeb,"Arabic, Tunisian Spoken",27000,N,,Islã,0.050,0.200,Y,1,4,Y,Y,,N,52.5412262000291,13.3642038676144,p15641.jpg,
GM,Alemanha,10379,"Argelino de fala árabe",10,"Mundo Árabe",115,"Arab, Maghreb",Islã,arq,"Arabic, Algerian Spoken",232000,N,,Islã,0.200,0.300,Y,1,4,Y,Y,,N,50.117688,8.662787,p10379.jpg,
GM,Alemanha,10528,"Azeri do norte",24,"Povos Túrquicos",126,Azerbaijani,Islã,azj,"Azerbaijani, North",15000,N,,Islã,0.400,0.800,Y,1,5,Y,Y,AZEBSAN2DA,N,52.575769,13.298027,p10528.jpg,
GM,Alemanha,14899,"Berbere shawiya",10,"Mundo Árabe",144,Berber-Shawiya,Islã,shy,Tachawit,1600,N,,Islã,0.000,0.000,Y,1,3,Y,Y,,N,50.09359,8.678903,p14899.jpg,
GM,Alemanha,10953,Bósnio,12,"Povos da Eurásia",284,"Slav, Southern",Cristianismo,bos,Bosnian,290000,N,,Islã,0.100,0.400,Y,1,5,Y,Y,,N,52.5148271211747,13.3227788521623,p10953.jpg,
GM,Alemanha,12599,Cazaque,24,"Povos Túrquicos",202,Kazakh,Islã,kaz,Kazakh,5100,N,,Islã,0.020,0.100,Y,1,5,Y,Y,KAZKAZN2DA,N,52.5082697018852,13.3591079860447,p12599.jpg,
GM,Alemanha,11317,Checheno,12,"Povos da Eurásia",157,Caucasus,Islã,che,Chechen,12000,N,,Islã,0.000,0.000,Y,1,5,Y,Y,CHEIBTN2DA,N,52.4258097276368,13.392418401588,p11317.jpg,
GM,Alemanha,12322,Japonês,11,"Povos do Leste Asiático",194,Japanese,Budismo,jpn,Japanese,25000,N,,Budismo,0.500,1.500,Y,1,5,Y,Y,JPNNITN1DA,N,48.1459180708623,11.5961714604445,p12322.jpg,
GM,Alemanha,12346,"Jew, German",15,Judeus,197,Jews,"Religiões Étnicas",deu,"German, Standard",71000,N,,"Religiões Étnicas",0.100,0.500,Y,1,5,Y,Y,GERD71N2DA,Y,52.4545408043147,13.3795354585945,p12346.jpg,
GM,Alemanha,11675,Kabardian,12,"Povos da Eurásia",157,Caucasus,Islã,kbd,Kabardian,14000,N,,Islã,0.000,0.000,Y,1,4,Y,Y,,N,50.25483,8.58325,p11675.jpg,m11675.png
